Method,Name,Error,Occurrences
GET,/product/1YMWWN1N4O,LocustBadStatusCode(code=500),175
POST,/setCurrency,LocustBadStatusCode(code=500),486
GET,/product/0PUK6V6EV0,LocustBadStatusCode(code=500),200
POST,/cart,LocustBadStatusCode(code=500),486
GET,/cart,LocustBadStatusCode(code=500),488
GET,/product/L9ECAV7KIM,LocustBadStatusCode(code=500),164
GET,/,LocustBadStatusCode(code=500),422
GET,/product/66VCHSJNUP,LocustBadStatusCode(code=500),188
GET,/product/2ZYFJ3GM2N,LocustBadStatusCode(code=500),202
GET,/product/OLJCESPC7Z,LocustBadStatusCode(code=500),178
GET,/product/6E92ZMYYFZ,LocustBadStatusCode(code=500),176
POST,/cart/checkout,LocustBadStatusCode(code=500),4299
GET,/product/9SIQT8TOJO,"ConnectionRefusedError(111, 'Connection refused')",1
GET,/product/LS4PSXUNUM,LocustBadStatusCode(code=500),198
GET,/product/LS4PSXUNUM,"ConnectionRefusedError(111, 'Connection refused')",1
GET,/product/9SIQT8TOJO,LocustBadStatusCode(code=500),185
