Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,827853,422,190.0,527.5540965756188,1.19606195949018,17403.817852959037,10565.941193666025,1.3689148130834297,0.0006978075227379828,190,330,470,590,1200,2300,4200,5700,10000,16000,17000
GET,/cart,2360306,488,180.0,358.9358334070077,1.097140833735466,15453.36316502653,14484.410378569559,3.9029366890132637,0.0008069432964363404,180,300,420,530,890,1300,2000,2600,5200,8900,15000
POST,/cart,2359815,486,230.0,428.0688317073777,1.8443828448653221,16004.804875003174,18438.742227250867,3.9021247849998413,0.0008036361517788144,230,380,490,600,990,1500,2300,2900,5400,8600,16000
POST,/cart/checkout,786817,4299,190.0,344.5385129525661,1.9233010243624449,13560.695979045704,6785.041090876278,1.3010588190003114,0.007108707441352105,190,290,380,460,800,1200,2000,2700,5200,7400,14000
GET,/product/0PUK6V6EV0,1134405,200,150.0,295.122848398051,1.3119640061631799,11635.396206052974,8004.510425289028,1.8758207176103825,0.0003307144657525985,150,250,350,440,790,1100,1600,1900,3400,8500,12000
GET,/product/1YMWWN1N4O,1138568,175,150.0,294.17102900814876,1.4874690677970648,11823.012456996366,8025.805114846017,1.8827045392150228,0.0002893751575335237,150,250,350,440,790,1100,1600,1900,3300,8200,12000
GET,/product/2ZYFJ3GM2N,1137117,202,150.0,294.9502944734326,0.9158840402960777,11168.713703984395,8022.3671776958745,1.8803052057659877,0.0003340216104101245,150,250,350,440,790,1100,1600,1900,3400,8600,11000
GET,/product/66VCHSJNUP,1136941,188,150.0,294.1781117425315,1.1603909078985453,11273.801922798157,7989.503455324419,1.8800141770361256,0.0003108715978074426,150,250,350,440,790,1100,1600,1900,3400,8200,11000
GET,/product/6E92ZMYYFZ,1135017,176,140.0,294.19591714611846,1.7763548530638218,11482.700288994238,7978.5385461186925,1.8768327038755854,0.0002910287298622867,140,250,350,440,790,1100,1600,1900,3400,8700,11000
GET,/product/9SIQT8TOJO,1135333,186,150.0,295.32742886124896,1.2335670180618763,11396.841109031811,8030.429035357908,1.8773552327314746,0.0003075644531499166,150,250,350,440,790,1100,1600,1900,3300,8500,11000
GET,/product/L9ECAV7KIM,1135798,164,150.0,295.1400993903245,0.944552943110466,11401.93403698504,7996.647764831422,1.8781241438643494,0.0002711858619171308,150,250,350,440,790,1100,1600,1900,3400,8600,11000
GET,/product/LS4PSXUNUM,1138107,199,150.0,295.39147040679416,1.2144040083512664,11327.614219859242,7995.47280967431,1.8819422423714631,0.0003290608934238355,150,250,350,440,790,1100,1600,1900,3400,8700,11000
GET,/product/OLJCESPC7Z,1136688,178,150.0,294.8246758535746,1.167100970633328,11998.086645966396,8028.408880889039,1.8795958232369485,0.0002943358745198127,150,250,350,440,790,1100,1600,1900,3300,8400,12000
POST,/setCurrency,1574313,486,190.0,495.85236765893694,1.1464229319244623,17903.017107164487,10570.837285851034,2.603240413611853,0.0008036361517788144,190,310,430,540,1100,2200,4100,5400,8300,13000,18000
,Aggregated,18137078,7849,170.0,350.72550468323163,0.9158840402960777,17903.017107164487,10494.10546472811,29.990970305416038,0.012978889208460728,170,280,390,490,860,1300,2000,2700,6400,10000,18000
