Method,Name,Error,Occurrences
GET,/product/1YMWWN1N4O,LocustBadStatusCode(code=500),100
POST,/setCurrency,LocustBadStatusCode(code=500),221
GET,/product/0PUK6V6EV0,LocustBadStatusCode(code=500),98
POST,/cart,LocustBadStatusCode(code=500),244
GET,/cart,LocustBadStatusCode(code=500),226
GET,/product/L9ECAV7KIM,LocustBadStatusCode(code=500),102
GET,/,LocustBadStatusCode(code=500),210
GET,/product/66VCHSJNUP,LocustBadStatusCode(code=500),100
GET,/product/2ZYFJ3GM2N,LocustBadStatusCode(code=500),112
GET,/product/OLJCESPC7Z,LocustBadStatusCode(code=500),102
GET,/product/6E92ZMYYFZ,LocustBadStatusCode(code=500),91
POST,/cart/checkout,LocustBadStatusCode(code=500),2103
GET,/product/LS4PSXUNUM,LocustBadStatusCode(code=500),91
GET,/product/6E92ZMYYFZ,"ConnectionRefusedError(111, 'Connection refused')",1
GET,/product/9SIQT8TOJO,LocustBadStatusCode(code=500),101
