Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,385008,210,190.0,393.4937041706571,1.41043309122324,19281.18518088013,10565.887565972655,1.4855774372809243,0.0008102981284258874,190,310,410,500,850,1400,2500,3400,9000,15000,19000
GET,/cart,1104917,226,170.0,299.5741666136358,0.7618917152285576,17436.63175776601,14496.01270774185,4.263391319837839,0.0008720351286869074,170,280,370,440,700,1000,1500,2000,4100,9200,17000
POST,/cart,1104449,244,230.0,360.7206078716572,2.0024776458740234,12994.61028818041,18437.954797369548,4.261585512580205,0.000941489253980555,230,350,440,510,780,1100,1700,2200,4200,8700,13000
POST,/cart/checkout,367923,2103,180.0,276.3905372586972,2.0498670637607574,11192.533452995121,6783.326220431993,1.4196538966897039,0.008114556971807817,180,260,330,390,610,930,1400,1800,3400,7300,11000
GET,/product/0PUK6V6EV0,530709,98,140.0,254.39366033045752,1.1372361332178116,11524.396280758083,8002.971794335502,2.047773854470354,0.0003781391265987475,140,230,300,360,610,930,1300,1700,3300,9300,12000
GET,/product/1YMWWN1N4O,531722,100,140.0,255.08401157635947,1.1771675199270248,11049.57964271307,8024.763978169043,2.0516825782993795,0.000385856251631375,140,230,300,360,610,930,1400,1700,3400,9200,11000
GET,/product/2ZYFJ3GM2N,532632,112,140.0,256.01346902171554,1.0797744616866112,11413.10437116772,8020.997705733039,2.055193870189225,0.00043215900182714,140,230,300,360,620,940,1400,1700,3500,9300,11000
GET,/product/66VCHSJNUP,532042,100,140.0,254.48128626220372,1.2545213103294373,11069.461640901864,7987.573097612594,2.0529173183046,0.000385856251631375,140,230,300,360,610,930,1300,1700,3400,9300,11000
GET,/product/6E92ZMYYFZ,532332,92,140.0,254.00957211397525,0.997922383248806,11445.68138755858,7977.307961948559,2.0540363014343312,0.000354987751500865,140,230,300,360,610,930,1300,1700,3400,9000,11000
GET,/product/9SIQT8TOJO,531471,101,140.0,256.0180451615907,1.6349516808986664,11087.604408152401,8029.103853267629,2.050714079107785,0.0003897148141476887,140,230,300,360,610,940,1400,1700,3400,9200,11000
GET,/product/L9ECAV7KIM,531509,102,140.0,254.5056918172896,1.2828623875975609,11458.311075344682,7995.214541992704,2.050860704483405,0.0003935733766640025,140,230,300,360,610,930,1300,1700,3400,9200,11000
GET,/product/LS4PSXUNUM,532912,91,140.0,254.57081617493137,1.1388873681426048,11520.573948509991,7994.0221950340765,2.056274267693793,0.00035112918898455125,140,230,300,360,610,930,1300,1700,3400,9500,12000
GET,/product/OLJCESPC7Z,532566,102,140.0,254.2718221527432,1.2527462095022202,11504.806462675333,8027.201036115712,2.0549392050631483,0.0003935733766640025,140,230,300,360,610,930,1300,1700,3300,9000,12000
POST,/setCurrency,738263,221,190.0,379.37435507953194,1.3866806402802467,19276.61338634789,10570.99665566336,2.848633938981338,0.0008527423161053387,190,310,410,490,830,1400,2400,3300,6100,9900,19000
,Aggregated,8488455,3902,160.0,292.48000060277775,0.7618917152285576,19281.18518088013,10494.626261080492,32.75323428441603,0.015056110938656253,160,260,340,410,680,1000,1500,2000,4700,9600,19000
