Method,Name,Error,Occurrences
GET,/product/1YMWWN1N4O,LocustBadStatusCode(code=500),22
POST,/setCurrency,LocustBadStatusCode(code=500),74
GET,/product/0PUK6V6EV0,LocustBadStatusCode(code=500),24
POST,/cart,LocustBadStatusCode(code=500),52
GET,/cart,LocustBadStatusCode(code=500),70
GET,/product/L9ECAV7KIM,LocustBadStatusCode(code=500),20
GET,/,LocustBadStatusCode(code=500),64
GET,/product/66VCHSJNUP,LocustBadStatusCode(code=500),21
GET,/product/2ZYFJ3GM2N,LocustBadStatusCode(code=500),30
GET,/cart,"ConnectionRefusedError(111, 'Connection refused')",1
GET,/product/OLJCESPC7Z,LocustBadStatusCode(code=500),24
GET,/product/6E92ZMYYFZ,LocustBadStatusCode(code=500),35
POST,/cart/checkout,LocustBadStatusCode(code=500),521
GET,/product/LS4PSXUNUM,LocustBadStatusCode(code=500),24
GET,/product/9SIQT8TOJO,LocustBadStatusCode(code=500),20
