Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,388080,149,190.0,369.3369783459628,2.7190130203962326,18367.12335329503,10566.751502267574,1.4974394994954203,0.0005749291007648362,190,300,400,490,830,1300,2200,3000,6800,11000,18000
GET,/cart,1112360,203,160.0,263.5453668387001,0.6497614085674286,13573.039853014052,14504.81777751807,4.292135131052169,0.0007832926674849782,160,250,330,390,610,890,1300,1700,3400,6400,14000
POST,/cart,1111027,172,210.0,323.68231404899853,1.9090352579951286,16680.929287336767,18453.1903725112,4.286991637821837,0.0006636765458493412,210,310,400,470,680,970,1500,1900,3700,6800,17000
POST,/cart/checkout,370094,1931,170.0,251.8485474254533,1.8958281725645065,11887.208260595798,6797.8420536404265,1.4280389974393375,0.007450926802529522,170,230,300,360,540,810,1300,1600,3300,5800,12000
GET,/product/0PUK6V6EV0,535670,68,130.0,220.52050123993754,1.5789959579706192,8344.826189801097,8016.499131928239,2.0669279960181197,0.0002623837506846232,130,200,270,320,510,800,1200,1400,2600,5300,8300
GET,/product/1YMWWN1N4O,535555,73,130.0,220.59055846998248,1.948934979736805,8626.491368748248,8038.021181764711,2.066484258792697,0.00028167667352908083,130,200,270,320,510,790,1200,1400,2500,5400,8600
GET,/product/2ZYFJ3GM2N,535657,83,130.0,219.79830060569424,1.1915164068341255,8128.112517297268,8034.432754542552,2.066877834418724,0.000320262519217996,130,200,270,320,510,790,1200,1400,2500,5300,8100
GET,/product/66VCHSJNUP,536418,62,130.0,219.6901350293238,1.56451016664505,8487.758906558156,8001.5561782043105,2.0698142172756504,0.00023923224327127414,130,200,270,320,510,790,1200,1400,2500,5200,8500
GET,/product/6E92ZMYYFZ,536092,84,130.0,220.22934291760714,1.240595243871212,8915.802881121635,7990.850693537676,2.0685563187061917,0.00032412110378688753,130,200,270,320,510,790,1200,1400,2500,5100,8900
GET,/product/9SIQT8TOJO,535393,66,130.0,219.79830710285805,1.267002895474434,8573.87465517968,8042.460525259015,2.0658591680925364,0.0002546665815468402,130,200,270,320,510,790,1200,1400,2500,5100,8600
GET,/product/L9ECAV7KIM,536892,67,130.0,220.40038591237754,1.0573938488960266,8298.657381907105,8008.808639353911,2.071643186361305,0.00025852516611573175,130,200,270,320,510,790,1200,1400,2500,5300,8300
GET,/product/LS4PSXUNUM,535187,71,130.0,220.01553733388207,1.7703995108604431,8629.8560295254,8007.532666152205,2.065064299671345,0.0002739595043912978,130,200,270,310,510,790,1200,1400,2500,5300,8600
GET,/product/OLJCESPC7Z,534181,79,130.0,219.88417508577825,1.0194331407546997,8495.39752677083,8040.427866210142,2.06118256359504,0.0003048281809424299,130,200,270,320,510,790,1200,1400,2500,5100,8500
POST,/setCurrency,743542,205,190.0,354.67656515370084,1.274995505809784,18307.602426037192,10571.154872219726,2.869019687522737,0.0007910098366227613,190,290,390,470,780,1300,2100,2800,5500,12000,18000
,Aggregated,8546148,3313,150.0,259.08293122290917,0.6497614085674286,18367.12335329503,10505.116347154297,32.976034796263114,0.0127834906767376,150,240,310,370,590,890,1300,1700,3700,7400,18000
