Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,723783,27274,1100.0,1522.5881461217202,0.5035372450947762,36975.737942848355,10375.507345433645,1.2009596855753404,0.04525524150799595,1100,1500,1900,2100,3000,4100,6900,11000,27000,32000,37000
GET,/cart,2051264,75181,1000.0,1509.2197931430387,0.5375780165195465,36533.16751681268,19025.125242289632,3.4036242471459195,0.12474643659942229,1000,1600,2000,2300,3300,4300,6300,8900,24000,30000,37000
POST,/cart,2049696,78109,1200.0,1658.3725921238447,1.6216253861784935,39030.96597874537,21107.551298338876,3.4010224938759723,0.1296048126035072,1200,1800,2300,2600,3600,4700,6600,9100,22000,30000,39000
POST,/cart/checkout,683552,28752,480.0,698.509390475897,1.458178274333477,32282.064008060843,6512.455829256589,1.1342051346804154,0.047707659449948654,480,710,910,1100,1600,2100,2900,3800,12000,26000,32000
GET,/product/0PUK6V6EV0,986350,32776,580.0,780.502483409062,0.7859040051698685,14667.415611911565,7703.826827191159,1.6366322307476646,0.0543846078927211,580,880,1100,1200,1700,2100,2800,3600,9400,12000,15000
GET,/product/1YMWWN1N4O,988878,32475,580.0,781.5063134996118,0.7747150957584381,14401.787692680955,7726.307689118375,1.6408268941828856,0.0538851641846509,580,880,1100,1200,1700,2100,2800,3700,9500,12000,14000
GET,/product/2ZYFJ3GM2N,988841,32751,580.0,779.756302362017,0.7781628519296646,15305.79379806295,7721.731459354942,1.6407655007702657,0.0543431258571671,580,880,1100,1200,1700,2100,2800,3600,9400,12000,15000
GET,/product/66VCHSJNUP,986429,32892,580.0,780.0962686375399,0.7624919526278973,14875.746778212488,7689.059603884314,1.6367633139800153,0.05457708453769168,580,880,1100,1200,1700,2100,2800,3600,9600,12000,15000
GET,/product/6E92ZMYYFZ,986755,32954,580.0,779.6305176052603,0.7925480604171753,15609.354783780873,7679.546360545424,1.6373042397236395,0.05467995998586561,580,880,1100,1200,1700,2100,2800,3600,9600,12000,16000
GET,/product/9SIQT8TOJO,988870,32692,580.0,781.6171599902739,0.7582115940749645,15473.277306649834,7731.528869315482,1.6408136199315082,0.05424522825325965,580,880,1100,1200,1700,2100,2800,3700,9500,12000,15000
GET,/product/L9ECAV7KIM,987757,32814,580.0,780.068598678938,0.7485379464924335,14687.935301102698,7695.233590852811,1.638966839708644,0.05444766058676319,580,880,1100,1200,1700,2100,2800,3700,9600,12000,15000
GET,/product/LS4PSXUNUM,987191,32586,580.0,781.7136603874151,0.7565179839730263,15192.54469498992,7698.359779414521,1.6380276864237013,0.05406934442251067,580,880,1100,1200,1700,2100,2800,3700,9700,12000,15000
GET,/product/OLJCESPC7Z,988054,33078,580.0,780.3721878554601,0.7650591433048248,14525.321543216705,7725.619860857807,1.6394596462910256,0.054885710882213466,580,880,1100,1200,1700,2100,2800,3700,9500,12000,15000
POST,/setCurrency,1365344,53428,1100.0,1522.6799843205295,0.9600562043488026,37141.80478779599,10372.74423295521,2.265489934057829,0.08865208782317253,1100,1600,1900,2200,3000,4000,6500,9600,27000,31000,37000
,Aggregated,15762764,557762,710.0,1084.337698495486,0.5035372450947762,39030.96597874537,11224.549901019896,26.154861467094825,0.92548412458689,710,1100,1400,1600,2400,3200,4700,6500,20000,29000,39000
